Horodateur,Nickname,Crossbow [Damage],Crossbow [Accuracy],Crossbow [Range],Crossbow [Rate of fire],Crossbow [Reload speed],Crossbow [Recoil],Crossbow [Ammo capacity],Crossbow [Projectile speed],Flamethrower [Damage],Flamethrower [Accuracy],Flamethrower [Range],Flamethrower [Rate of fire],Flamethrower [Reload speed],Flamethrower [Recoil],Flamethrower [Ammo capacity],Flamethrower [Projectile speed],Grenade launcher [Damage],Grenade launcher [Accuracy],Grenade launcher [Range],Grenade launcher [Rate of fire],Grenade launcher [Reload speed],Grenade launcher [Recoil],Grenade launcher [Ammo capacity],Grenade launcher [Projectile speed],HMG [Damage],HMG [Accuracy],HMG [Range],HMG [Rate of fire],HMG [Reload speed],HMG [Recoil],HMG [Ammo capacity],HMG [Projectile speed],Knife [Damage],Knife [Accuracy],Knife [Range],Knife [Rate of fire],Knife [Reload speed],Knife [Recoil],Knife [Ammo capacity],Knife [Projectile speed],Revolver [Damage],Revolver [Accuracy],Revolver [Range],Revolver [Rate of fire],Revolver [Reload speed],Revolver [Recoil],Revolver [Ammo capacity],Revolver [Projectile speed],Rocket launcher [Damage],Rocket launcher [Accuracy],Rocket launcher [Range],Rocket launcher [Rate of fire],Rocket launcher [Reload speed],Rocket launcher [Recoil],Rocket launcher [Ammo capacity],Rocket launcher [Projectile speed],Shocker [Damage],Shocker [Accuracy],Shocker [Range],Shocker [Rate of fire],Shocker [Reload speed],Shocker [Recoil],Shocker [Ammo capacity],Shocker [Projectile speed],Shotgun [Damage],Shotgun [Accuracy],Shotgun [Range],Shotgun [Rate of fire],Shotgun [Reload speed],Shotgun [Recoil],Shotgun [Ammo capacity],Shotgun [Projectile speed],SMG [Damage],SMG [Accuracy],SMG [Range],SMG [Rate of fire],SMG [Reload speed],SMG [Recoil],SMG [Ammo capacity],SMG [Projectile speed],Spreadgun [Damage],Spreadgun [Accuracy],Spreadgun [Range],Spreadgun [Rate of fire],Spreadgun [Reload speed],Spreadgun [Recoil],Spreadgun [Ammo capacity],Spreadgun [Projectile speed],Comments
26/11/2022 13:33:18,fleur,Is balanced,Need a big buff,Is balanced,Is balanced,Is balanced,No opinion,Is balanced,Need a buff,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,No opinion,Is balanced,Is balanced,Need a nerf,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big buff,Need a buff,Need a buff,No opinion,Need a buff,Is balanced,Is balanced,Is balanced,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,the problem of AFK players !!! the game turns into an unbalanced race
26/11/2022 13:39:53,MikeX,Need a big buff,Need a buff,Need a buff,Need a buff,No opinion,No opinion,No opinion,No opinion,Need a buff,No opinion,Need a buff,No opinion,No opinion,No opinion,No opinion,No opinion,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Need a buff,Need a buff,Need a buff,"To many AFK bots, maybe good to give no rewards to 4th players"
26/11/2022 13:40:05,Rijin,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Need a buff,Need a buff,Is balanced,Need a buff,Need a buff,
26/11/2022 13:43:17,Martouf,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a buff,Need a big buff,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Need a buff,Need a nerf,Is balanced,Need a big nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a nerf,Is balanced,Need a nerf,Is balanced,Need a nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,
26/11/2022 13:44:51,Deviant,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,No opinion,Is balanced,No opinion,No opinion,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a big nerf,Need a nerf,Need a nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,"Great game, just the aim assist is cheating. Rolling or dodging also prevents damage from rockets. "
26/11/2022 13:45:04,Cyberpanda ,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a nerf,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Need a nerf,Need a big buff,Need a nerf,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Need a nerf,Need a buff,Need a buff,Need a big buff,Is balanced,Need a buff,Need a nerf,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a big buff,Need a buff,Is balanced,Is balanced,Is balanced,Need a big buff,Need a buff,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Need a big buff,Need a buff,Is balanced,Need a buff,Need a buff,Need a buff,Is balanced,Need a buff,Need a buff,Need a buff,Need a big buff,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,
26/11/2022 13:47:52,,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,
26/11/2022 13:48:17,Manzana,Need a buff,Need a buff,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a nerf,Need a nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Need a big buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Need a big buff,nice work team GL for balancing its realy hard !
26/11/2022 13:50:38,The Beast,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Need a big buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Need a buff,Need a buff,Is balanced,Need a nerf,Is balanced,Need a nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a nerf,Need a nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,No
26/11/2022 13:55:30,crys191971,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a buff,Need a buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,I think we should increase weapon power on monkeys based on perks.
26/11/2022 13:58:07,,Need a big buff,Need a big buff,Is balanced,Need a buff,Need a buff,Need a buff,Need a big buff,Need a buff,Need a big buff,Is balanced,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,
26/11/2022 13:58:22,,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,
26/11/2022 14:02:21,GhoOosTDZ,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Need a buff,Very good game.
26/11/2022 14:03:58,,Need a buff,Need a big buff,Is balanced,Is balanced,Is balanced,Need a big buff,No opinion,Is balanced,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,No opinion,No opinion,Is balanced,No opinion,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,No opinion,No opinion,No opinion,No opinion,Need a buff,No opinion,No opinion,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,
26/11/2022 14:05:11,Luckyboy ,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Is balanced,Need a buff,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Need a buff,Need a buff,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,"Keep on going , you are doing a great job 🤗"
26/11/2022 14:15:54,ClausiOP,Need a big buff,Need a big buff,Is balanced,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Need a big buff,Need a big buff,Is balanced,Is balanced,Need a big buff,Is balanced,Need a big buff,Is balanced,Is balanced,Need a big buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Need a big buff,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Need a big buff,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Need a buff,Need a buff,Is balanced,Need a buff,Need a buff,Is balanced,Need a buff,Need a buff,Need a big buff,Need a big buff,Need a buff,Need a buff,Is balanced,Is balanced,Need a buff,Need a buff,
26/11/2022 14:17:24,deniz,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a nerf,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,
26/11/2022 14:20:07,knutz0r,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,
26/11/2022 14:20:51,SNTACP,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,
26/11/2022 14:20:53,Hamps,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,"If you can get stats on weapons usage then you should also apply that as a weight against any changes you consider making.
Obv shotgun is used by Everyone, therefor more likely requires balancing down slightly.  Spread gun is never used, there's your answer, needs buff.    That said, rolling in with a shotgun is the only answer to a lot of your bigger long range weapons.

Powerful players have a big advantage currently utilising rocket + shotgun switch. "
26/11/2022 14:21:21,,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,
26/11/2022 14:22:55,,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a big nerf,Need a big nerf,Need a nerf,Need a nerf,Need a nerf,Need a big nerf,Need a big nerf,
